"Package","Version","LibPath","Priority","Built"
"AnnotationDbi","1.71.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.1"
"clusterProfiler","4.17.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"cowplot","1.2.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"dplyr","1.1.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"EnhancedVolcano","1.27.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"enrichplot","1.29.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.1"
"forcats","1.0.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"GEOquery","2.77.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.1"
"ggplot2","3.5.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"ggrepel","0.9.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"limma","3.65.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.1"
"magick","2.8.7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"matrixStats","1.5.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"msigdbr","25.1.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"org.Hs.eg.db","3.21.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"png","0.1-8","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"purrr","1.1.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"readr","2.1.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"stringr","1.5.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"svglite","2.2.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
"tibble","3.3.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library",NA,"4.5.0"
